Q1. How well is the original content preserved in the outputs?,Q2. How well is the style applied in these outputs?,"Q3. Overall, how would you rate the quality of the generated images?",Q4. How well is the original content preserved in the outputs?,Q5. How well is the style applied in these outputs?,"Q6. Overall, how would you rate the quality of the generated images?",Q7. How well is the original content preserved in the outputs?,Q8. How well is the style applied in these outputs?,"Q9. Overall, how would you rate the quality of the generated images?",Q10. Which style pairs best with each content image? [Fox],Q10. Which style pairs best with each content image? [City Skyline],Q10. Which style pairs best with each content image? [Family Photo],"Q11. Considering all the outputs you have seen, which model do you think performed best overall?"
4,4,4,3,4,3,2,3,2,Style 3: The Swing,Style 1: The Starry Night,Style 2: The Scream,Model A
4,4,4,3,3,4,1,4,2,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
3,5,5,4,5,4,1,2,1,Style 3: The Swing,Style 1: The Starry Night,Style 2: The Scream,Model B
5,5,5,5,4,4,3,3,3,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
5,3,4,4,3,3,2,2,2,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
3,2,3,3,3,3,1,2,2,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
4,4,4,3,4,3,2,3,2,Style 3: The Swing,Style 1: The Starry Night,Style 2: The Scream,Model A
5,5,5,4,4,4,3,3,3,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
4,5,4,5,4,4,2,2,2,Style 1: The Starry Night,Style 2: The Scream,Style 3: The Swing,Model B
4,3,4,5,3,3,1,4,2,Style 2: The Scream,Style 3: The Swing,Style 1: The Starry Night,Model B
3,4,3,2,2,2,3,5,3,Style 2: The Scream,Style 1: The Starry Night,Style 3: The Swing,Model C
5,5,5,4,4,4,3,3,3,Style 1: The Starry Night,Style 3: The Swing,Style 2: The Scream,Model A
5,4,5,5,5,5,2,4,3,Style 1: The Starry Night,Style 3: The Swing,Style 2: The Scream,Model B
5,5,4,3,4,3,2,4,3,Style 1: The Starry Night,Style 2: The Scream,Style 3: The Swing,Model A
4,3,3,3,3,3,2,2,2,Style 2: The Scream,Style 1: The Starry Night,Style 3: The Swing,Model A
5,5,5,4,4,4,2,2,2,Style 1: The Starry Night,Style 3: The Swing,Style 2: The Scream,Model A
5,5,5,4,4,4,3,3,3,Style 1: The Starry Night,Style 2: The Scream,Style 3: The Swing,Model A
3,3,3,2,2,2,2,4,4,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model C
5,4,5,5,4,5,4,3,4,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model B
3,4,3,3,4,3,3,4,3,Style 1: The Starry Night,Style 2: The Scream,Style 3: The Swing,Model A
5,5,5,4,4,4,3,3,3,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
5,5,5,4,4,4,2,2,1,Style 2: The Scream,Style 1: The Starry Night,Style 3: The Swing,Model A
5,5,5,4,4,4,3,3,3,Style 2: The Scream,Style 3: The Swing,Style 1: The Starry Night,Model A
4,4,4,5,5,5,1,1,1,Style 3: The Swing,Style 1: The Starry Night,Style 2: The Scream,Model B
4,4,4,5,5,5,2,4,2,Style 3: The Swing,Style 1: The Starry Night,Style 2: The Scream,Model B
5,5,5,4,4,4,3,3,3,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
4,3,4,4,4,4,3,3,3,Style 2: The Scream,Style 3: The Swing,Style 1: The Starry Night,Model B
5,5,5,4,4,4,3,4,3,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
3,3,3,3,3,3,3,3,3,Style 1: The Starry Night,Style 3: The Swing,Style 2: The Scream,Model B
5,5,5,4,4,4,3,3,3,Style 1: The Starry Night,Style 3: The Swing,Style 2: The Scream,Model A
3,4,3,4,3,3,3,4,3,Style 1: The Starry Night,Style 2: The Scream,Style 3: The Swing,Model C
3,4,3,2,3,3,2,2,2,Style 3: The Swing,Style 2: The Scream,Style 1: The Starry Night,Model A
