Q1. How well is the original content preserved in the outputs?,Q2. How well is the style applied in these outputs?,Q3. How would you rate the quality of the generated images?,Q4. How well is the original content preserved in the outputs?,Q5. How well is the style applied in these outputs?,Q6. How would you rate the quality of the generated images?,Q7. How well is the original content preserved in the outputs?,Q8. How well is the style applied in these outputs?,"Q9. Overall, how would you rate the quality of the generated images?","Q10. Considering all the outputs you have seen, which model do you think performed best overall?"
5,5,5,5,5,5,1,1,1,Model F
5,4,5,4,5,5,1,2,2,Model E
4,3,4,4,3,3,1,2,1,Model D
4,4,5,5,4,5,1,3,1,Model D
5,5,5,4,4,4,2,2,2,Model D
4,4,4,5,5,5,3,3,3,Model E
5,5,5,5,5,5,2,3,2,Model D
5,5,5,5,5,5,2,2,2,Model E
4,5,4,5,4,5,2,3,3,Model E
3,3,3,3,3,3,1,1,1,Model D
3,3,3,3,3,3,1,1,1,Model E
4,5,5,5,5,5,2,2,2,Model D
4,4,4,4,4,4,3,3,3,Model E
4,4,4,4,4,4,1,2,2,Model E
5,5,5,4,4,4,2,2,3,Model D
4,4,4,5,5,5,2,1,2,Model E
5,4,4,4,4,4,2,3,3,Model E
3,3,3,3,3,3,3,3,3,Model D
5,4,4,4,4,4,2,2,2,Model D
5,5,5,4,4,4,2,2,2,Model D
4,4,4,5,5,5,2,2,2,Model E
5,5,5,5,5,4,2,2,2,Model D
4,4,4,4,4,4,2,1,2,Model D
5,5,5,5,5,5,1,1,1,Model E
4,4,4,5,5,5,1,2,2,Model E
4,4,4,5,5,5,2,3,1,Model E
5,5,5,4,4,4,3,2,1,Model E
4,5,4,4,5,4,1,2,3,Model D
5,5,5,4,4,4,2,2,2,Model D
